Article,frequency,Total words
article_655,1,42
article_605,1,45
article_434,1,42
article_86,2,42
article_87,1,42
article_366,1,39
article_604,1,45
article_647,1,45
article_96,2,38
article_463,2,38
article_371,1,41
article_525,1,44
article_336,2,42
article_638,1,44
article_205,1,44
article_345,1,38
article_283,1,39
article_572,1,41
article_246,2,38
article_488,1,42
article_507,1,39
article_481,1,43
article_509,1,38
article_90,1,38
article_643,1,43
article_558,1,41
article_240,1,38
article_309,1,42
article_95,1,39
article_508,1,37
article_225,1,37
article_332,3,43
article_381,1,38
article_364,1,40
