Article,frequency,Total words
article_91,1,40
article_657,1,41
article_47,1,43
article_247,1,38
article_613,1,40
article_12,1,44
article_16,1,44
article_77,2,46
article_496,1,44
article_63,1,42
article_434,1,42
article_674,1,46
article_93,1,40
article_239,1,42
article_533,1,43
article_33,1,51
article_1,1,43
article_494,1,44
article_15,1,46
article_528,1,45
article_31,2,42
article_9,1,42
article_676,1,45
article_636,1,38
article_5,1,49
article_482,1,44
article_17,1,43
article_14,1,40
article_35,1,44
article_96,1,38
article_76,1,43
article_491,1,40
article_351,1,44
article_692,1,43
article_27,2,46
article_474,1,38
article_405,1,45
article_64,1,48
article_398,1,50
article_72,1,46
article_453,1,42
article_428,1,57
article_277,1,44
article_656,1,39
article_3,2,42
article_686,2,41
article_493,2,45
article_698,1,41
article_404,1,41
article_8,1,44
article_642,1,40
article_23,1,40
article_2,1,45
article_69,1,46
article_519,1,37
article_595,1,38
article_51,1,44
article_396,2,44
article_356,1,46
article_0,2,44
article_620,2,41
article_659,1,43
article_94,2,47
article_384,1,43
article_75,1,42
article_378,1,38
article_486,1,44
article_568,1,42
article_40,1,46
article_70,1,41
article_498,1,48
article_216,1,40
article_670,1,44
article_564,2,42
article_490,1,47
article_476,1,42
article_610,1,40
article_531,1,44
article_81,1,42
article_231,1,43
article_71,1,40
article_49,1,42
article_304,2,43
article_57,1,46
article_368,1,45
article_29,1,49
article_577,1,40
article_41,1,46
article_26,1,43
article_521,1,48
article_465,1,41
article_436,1,48
article_34,1,39
article_526,1,45
article_382,2,42
article_515,1,48
article_83,1,41
article_10,1,42
article_149,1,42
article_88,1,41
article_11,1,44
article_503,1,47
article_78,1,39
article_342,1,39
article_374,1,44
article_344,1,47
article_511,2,44
article_56,2,41
article_451,1,42
article_244,1,45
article_223,1,41
article_25,2,44
article_442,1,41
article_73,1,29
article_500,1,42
article_62,1,46
article_95,1,39
article_540,2,41
article_21,1,53
article_54,1,43
article_22,1,42
article_38,2,48
article_66,1,40
article_419,1,39
article_530,1,47
article_4,2,42
article_408,1,43
article_261,1,44
article_36,1,43
article_329,1,38
article_6,1,44
article_28,1,46
article_478,1,41
article_18,1,43
article_581,2,40
article_273,1,39
article_32,1,48
