Article,frequency,Total words
article_247,1,38
article_293,1,42
article_343,1,49
article_362,1,42
article_315,1,45
article_324,1,41
article_311,1,45
article_202,1,42
article_321,1,43
article_366,1,39
article_370,1,44
article_255,1,43
article_371,1,41
article_376,2,43
article_525,1,44
article_386,1,42
article_585,1,42
article_307,1,41
article_353,1,42
article_379,1,46
article_256,2,42
article_372,2,47
article_354,2,41
article_203,1,45
article_345,1,38
article_303,2,37
article_356,1,46
article_310,1,42
article_302,1,43
article_378,1,38
article_335,1,40
article_300,1,46
article_531,1,44
article_297,2,44
article_391,1,48
article_543,1,40
article_301,1,47
article_368,1,45
article_373,1,44
article_357,1,43
article_583,1,43
article_389,1,41
article_501,1,47
article_309,1,42
article_380,1,38
article_312,1,40
article_388,2,43
article_544,1,48
article_327,1,43
article_317,1,43
article_332,1,43
article_333,2,45
article_212,2,38
article_228,1,41
article_306,1,42
