Article,frequency,Total words
article_152,2,42
article_467,1,40
article_114,1,39
article_177,1,15
article_128,1,46
article_154,1,44
article_113,1,43
article_102,1,46
article_132,1,48
article_148,2,39
article_164,1,39
article_135,1,41
article_116,2,44
article_311,1,45
article_178,1,43
article_197,1,42
article_192,1,39
article_100,1,38
article_182,1,43
article_463,2,38
article_170,1,42
article_112,1,37
article_189,1,38
article_485,1,39
article_151,1,42
article_181,1,41
article_187,1,42
article_126,1,46
article_123,1,40
article_101,3,42
article_203,1,45
article_110,1,43
article_201,1,33
article_234,1,44
article_226,1,42
article_129,1,42
article_237,1,42
article_241,1,42
article_246,2,38
article_215,1,44
article_191,1,43
article_124,1,41
article_138,1,45
article_243,2,40
article_103,2,40
article_125,1,42
article_279,1,41
article_219,2,43
article_167,1,39
article_158,1,40
article_436,1,48
article_394,1,40
article_106,1,46
article_149,1,42
article_470,1,40
article_150,2,24
article_153,1,42
article_142,1,44
article_472,1,43
article_244,1,45
article_299,1,42
article_172,1,43
article_137,1,42
article_212,2,38
article_190,1,44
article_228,1,41
article_183,1,45
