ParkName,State,partySize,RateType,Equipment
Dollar Lake,NS ,2,Senior,LT20ft
Thomas Raddall,QC ,1,Senior,LT30ft
Amherst Shore,NS ,2,Full,Tents
Caribou Munroes,NS ,4,Full,LT20ft
Salsman,NS ,2,Full,LT40ft
Five Islands,NS ,2,Full,LT20ft
Graves Island,NS ,5,Full,ST
Rissers Beach,NS ,3,Full,LT30ft
Laurie,NS ,3,Full,ST
Smileys,NS ,3,Full,ST
Caribou Munroes,NS ,4,Full,ST
Laurie,NS ,1,Full,ST
Smileys,NS ,4,Full,Tents
Rissers Beach,NS ,6,Full,Tents
Amherst Shore,SK ,1,Full,ST
Salsman,NS ,2,Full,ST
Blomidon,NS ,2,Full,ST
Ellenwood Lake,NS ,4,Full,ST
Thomas Raddall,NS ,4,Full,ST
Rissers Beach,NS ,1,Full,ST
Thomas Raddall,NS ,3,Full,ST
Amherst Shore,QC ,2,Full,ST
Dollar Lake,NS ,2,Full,ST
Smileys,NS ,3,Full,ST
Battery,ON ,2,Full,LT30ft
Graves Island,NS ,4,Full,ST
Caribou Munroes,ON ,1,Senior,LT20ft
Mira River,NS ,4,Full,ST
Mira River,NS ,4,Full,LT20ft
Graves Island,ON ,1,Senior,ST
Rissers Beach,NS ,5,Full,LT30ft
Dollar Lake,NS ,6,Full,LT20ft
Rissers Beach,NS ,5,Full,ST
Graves Island,ON ,3,Full,LT30ft
Blomidon,NS ,2,Full,ST
Whycocomagh,NS ,2,Full,ST
Caribou Munroes,NS ,2,Full,LT20ft
Five Islands,PE ,2,Full,ST
Mira River,NS ,4,Full,LT30ft
Five Islands,ON ,4,Full,ST
Smileys,PE ,4,Full,LT30ft
Porters Lake,NS ,3,Full,ST
Graves Island,NS ,3,Full,LT30ft
Caribou Munroes,NS ,3,Full,Tents
Dollar Lake,NS ,4,Full,ST
Thomas Raddall,NS ,6,Full,Tents
Graves Island,NB ,1,Full,ST
Rissers Beach,BC ,2,Senior,LT20ft
Graves Island,NS ,5,Full,LT30ft
Caribou Munroes,NB ,4,Full,ST
Battery,NS ,2,Full,ST
Graves Island,NS ,4,Full,LT20ft
Mira River,NS ,2,Full,ST
Mira River,NS ,2,Full,LT30ft
Battery,AB ,2,Full,LT30ft
Amherst Shore,BC ,1,Full,ST
Graves Island,NS ,3,Full,ST
Battery,QC ,2,Full,LT20ft
Laurie,NS ,6,Full,Tents
Graves Island,NS ,1,Full,ST
Dollar Lake,NS ,6,Full,Tents
Graves Island,NS ,2,Full,ST
The Islands,BC ,2,Senior,LT20ft
Five Islands,NB ,2,Full,ST
Five Islands,NB ,6,Full,Tents
Salsman,NS ,3,Full,ST
Battery,QC ,2,Full,ST
Rissers Beach,NS ,2,Full,LT20ft
Battery,ON ,3,Full,LT30ft
Five Islands,NS ,2,Senior,LT20ft
Rissers Beach,NS ,6,Full,Tents
Mira River,NS ,4,Full,LT30ft
The Islands,NS ,4,Full,ST
Five Islands,NS ,1,Full,ST
Porters Lake,NS ,2,Senior,LT20ft
Thomas Raddall,NS ,2,Full,LT30ft
Caribou Munroes,NS ,2,Full,LT20ft
The Islands,NS ,4,Full,LT20ft
