ParkName,State,partySize,RateType,Equipment,
Smileys,NS ,6,Full,LT20ft,"CREATE (:PARK {ParkName: ""Smileys"", partySize:""6"", RateType:""Full"", Equipment:""LT20ft""})"
Laurie,NS ,8,Full,LT20ft,"CREATE (:PARK {ParkName: ""Laurie"", partySize:""8"", RateType:""Full"", Equipment:""LT20ft""})"
The Islands,NS ,6,Full,LT30ft,"CREATE (:PARK {ParkName: ""The Islands"", partySize:""6"", RateType:""Full"", Equipment:""LT30ft""})"
Five Islands,NS ,7,Full,ST,"CREATE (:PARK {ParkName: ""Five Islands"", partySize:""7"", RateType:""Full"", Equipment:""ST""})"
Amherst Shore,NS ,6,Full,LT40ft,"CREATE (:PARK {ParkName: ""Amherst Shore"", partySize:""6"", RateType:""Full"", Equipment:""LT40ft""})"
Valleyview,NS ,11,Full,ST,"CREATE (:PARK {ParkName: ""Valleyview"", partySize:""11"", RateType:""Full"", Equipment:""ST""})"
Salsman,NS ,6,Full,Tents,"CREATE (:PARK {ParkName: ""Salsman"", partySize:""6"", RateType:""Full"", Equipment:""Tents""})"
Caribou Munroes,NS ,9,Full,Tents,"CREATE (:PARK {ParkName: ""Caribou Munroes"", partySize:""9"", RateType:""Full"", Equipment:""Tents""})"
Battery,NS ,9,Full,Tents,"CREATE (:PARK {ParkName: ""Battery"", partySize:""9"", RateType:""Full"", Equipment:""Tents""})"
Whycocomagh,NS ,6,Full,LT20ft,"CREATE (:PARK {ParkName: ""Whycocomagh"", partySize:""6"", RateType:""Full"", Equipment:""LT20ft""})"
Rissers Beach,NS ,8,Full,Tents,"CREATE (:PARK {ParkName: ""Rissers Beach"", partySize:""8"", RateType:""Full"", Equipment:""Tents""})"
Ellenwood Lake,NS ,12,Full,LT30ft,"CREATE (:PARK {ParkName: ""Ellenwood Lake"", partySize:""12"", RateType:""Full"", Equipment:""LT30ft""})"
Boylston,NS ,6,Full,Tents,"CREATE (:PARK {ParkName: ""Boylston"", partySize:""6"", RateType:""Full"", Equipment:""Tents""})"
Mira River,NS ,9,Full,ST,"CREATE (:PARK {ParkName: ""Mira River"", partySize:""9"", RateType:""Full"", Equipment:""ST""})"
Dollar Lake,NS ,11,Full,ST,"CREATE (:PARK {ParkName: ""Dollar Lake"", partySize:""11"", RateType:""Full"", Equipment:""ST""})"
Graves Island,NS ,35,Full,Tents,"CREATE (:PARK {ParkName: ""Graves Island"", partySize:""35"", RateType:""Full"", Equipment:""Tents""})"
Porters Lake,NS ,7,Full,ST,"CREATE (:PARK {ParkName: ""Porters Lake"", partySize:""7"", RateType:""Full"", Equipment:""ST""})"
Blomidon,NS ,10,Full,Tents,"CREATE (:PARK {ParkName: ""Blomidon"", partySize:""10"", RateType:""Full"", Equipment:""Tents""})"
Thomas Raddall,NS ,8,Full,ST,"CREATE (:PARK {ParkName: ""Thomas Raddall"", partySize:""8"", RateType:""Full"", Equipment:""ST""})"
Cape Chignecto,NS ,14,Full,ST,"CREATE (:PARK {ParkName: ""Cape Chignecto"", partySize:""14"", RateType:""Full"", Equipment:""ST""})"
